,address,code,name,state,zone,coordinates
6096,,ANQ,AMNAPUR,,,"[74.459554, 17.049464999999998]"
6097,"Nathapettai - Kaliyanoor Rd, Tamil Nadu",NTT,NATHAPETTAI,Tamil Nadu,SR,"[79.75614999999999, 12.824069]"
6098,,NKU,NAKARDEI,,,"[84.89166900000001, 26.948686]"
6099,,RRNH,RAMRUPNAGAR,,,"[85.162249, 26.790374]"
6100,,PRWS,PATTABIRAM WEST,,,"[80.051876, 13.120184]"
6101,"State Highway 2, West Bengal",BAHW,Bahir Khanda,West Bengal,ER,"[88.071068, 22.851949]"
6102,,HHP,HARHAR FATEHPUR,,,"[77.38734198969999, 29.5622491051]"
6103,,SRKR,Salar Khurd,,,"[84.273451449, 26.447388357799998]"
6104,,UAR,UNAWA AITHOR,,,"[72.38511899999999, 23.759404]"
6105,"Kanyakumari, Tamil Nadu",VRLR,VIRANI ALUR,Tamil Nadu,SR,"[77.3686992383, 8.1946448621]"
6106,,HKNT,Hiwarkheda,,,"[78.067716, 21.40605]"
6107,,GZKA,Gzka,,,"[76.655091, 27.607734]"
6108,,VRLF,Veraval Mg,,,"[70.370599, 20.913261]"
6109,,MSWA,Masaniwala,,,"[73.59038699999999, 29.399942999999997]"
6110,"SH 26, Madhya Pradesh",KPDH,Kapurdha Halt,Madhya Pradesh,SECR,"[79.304203, 22.053903000000002]"
6111,,MKBH,Manwala Kot Bakhtu,,,"[74.95205, 30.040498999999997]"
6112,,GRKA,Gurha Kemla,,,"[76.25524899999999, 28.313585999999997]"
6113,"Murshidabad District, West Bengal",GSGB,Gosaingram,West Bengal,ER,"[88.211777, 24.248003]"
6114,,VZR,Bhanjpur,,,"[86.73407, 21.95074]"
6115,,TAKL,Takal,,,"[76.542513, 21.649222]"
6116,,NRSD,New Runnisaidpur Halt,,,"[85.515932, 26.385382]"
6117,"Chik Ballapur, Karnataka",CBP,Chik Ballapur,Karnataka,SWR,"[77.7325398, 13.4313153]"
6118,,PRUR,Prithwirajpur,,,"[73.757001, 29.956914]"
