,address,code,name,state,zone,coordinates
0,"Kishangarh Renwal, Rajasthan",BDHL,Badhal,Rajasthan,NWR,"[75.4516454, 27.2520587]"
1,"Kichha, Uttar Pradesh",KHH,KICHHA,Uttar Pradesh,NER,"[79.519746, 28.913427000000002]"
2,"MDR 89, Rajasthan",SRKN,Sherekan,Rajasthan,NWR,"[74.43499088287354, 29.55519806064484]"
3,"Bhukarka, Rajasthan",BKKA,Bhukarka,Rajasthan,NWR,"[74.75103096105158, 29.238227312503696]"
4,"State Highway 36, Rajasthan",NHR,Nohar,Rajasthan,NWR,"[74.77362781763077, 29.192562738768984]"
5,"Chennai, Tamil Nadu",PRGD,Perungudi,Tamil Nadu,SR,"[80.231363, 12.975217]"
6,"State Highway 23, Haryana",KNNA,Khinaniyan,Haryana,NWR,"[74.7179570607841, 29.345637263205944]"
7,,JKR,JAULKHERA,,,"[78.216684, 21.838466]"
8,,BYS,BARSALI,,,"[78.03136099999999, 21.909813]"
9,,GW,GIRWAR,,,"[78.936311, 23.838185999999997]"
10,,DGD,DANGIDHAR,,,"[79.019912, 23.871771000000003]"
11,"Dhodar, Madhya Pradesh",DOD,DHODHAR,Madhya Pradesh,WR,"[75.10354600000001, 23.770740999999997]"
12,,GAJ,GANESHGANJ,,,"[79.074633, 23.895862]"
13,"Jaynagar, West Bengal",JNM,Jayanagar Majilpur Halt,West Bengal,ER,"[88.415324, 22.168635]"
14,"Nasirabad, Rajasthan",NSD,NASIRABAD,Rajasthan,NWR,"[74.71699100000001, 26.294459999999997]"
15,,PHA,PATHARIA,,,"[79.192899, 23.905726]"
16,"Nizamabad, Andhra Pradesh",NZB,NIZAMABAD,Andhra Pradesh,SCR,"[78.103238, 18.679164999999998]"
17,,RJO,RAJENDRA PUL,,,"[86.01054599999999, 25.387446999999998]"
18,"Aduthurai, Tamil Nadu",ADT,ADUTURAI,Tamil Nadu,SR,"[79.478668, 11.009165]"
19,"Kumbakonam, Tamil Nadu",KMU,KUMBAKONAM,Tamil Nadu,SR,"[79.388644, 10.952962]"
20,"Sivaganga, Tamil Nadu",MNM,MANAMADURAI JN,Tamil Nadu,SR,"[78.45351, 9.681538999999999]"
21,,GKP,GORAKHPUR JN,,,"[83.381499, 26.759311]"
22,,VRM,VARNAMA,,,"[73.16928300000001, 22.184274000000002]"
23,,GKC,GORAKHPUR CANT,,,"[83.416821, 26.750649]"
24,,ITA,ITOLA,,,"[73.156746, 22.149889]"
25,"Baraut, Uttar Pradesh",BTU,BARAUT,Uttar Pradesh,NR,"[77.273006, 29.09692]"
26,"Moga, Punjab",MOGA,Moga,Punjab,NR,"[75.16846699999999, 30.817296]"
27,,SIOB,SAMAKHIALI JN,,,"[70.503394, 23.309819]"
28,"MDR 87, Rajasthan",RDK,Rasheedpura Khori,Rajasthan,NWR,"[75.087121, 27.713786000000002]"
29,,PVD,PEDDAVADIAPUDI,,,"[80.612645, 16.414205000000003]"
30,,YLM,ELLAMANCHILI,,,"[82.85262, 17.553652000000003]"
31,,CHPT,Chatrappatti,,,"[77.655113, 10.476970999999999]"
32,,JLD,JARWAL ROAD,,,"[81.540406, 27.120389]"
33,,BRJN,BRAJRAJNAGAR,,,"[83.923653, 21.822718000000002]"
34,,CLJ,COLONELGANJ,,,"[81.69417800000001, 27.137698]"
35,,KTHL,KATHOLA,,,"[81.8556626477, 27.1465555756]"
36,,MND,MUNDERWA,,,"[82.903373, 26.776435]"
37,"Near New Bus Stand Shirdi Sainagar, Maharashtra",SNSI,SAINAGAR SHIRDI,Maharashtra,CR,"[74.4806877, 19.780792299999998]"
38,"Dhola, Gujarat",DLJ,DHOLA JN,Gujarat,WR,"[71.738273, 21.822549000000002]"
39,,PGW,PHAGWARA JN,,,"[75.7655019775, 31.217555749800002]"
40,"NH 65, Rajasthan",JUP,Jhunpa,Rajasthan,?,"[75.521553, 28.777449]"
41,,JSG,JHARSUGUDA JN,,,"[84.017427, 21.862274]"
42,,KYW,KARCHHUE,,,"[84.20715351199999, 26.2311244405]"
43,,MHRN,MAHENDRANATH,,,"[84.509909, 26.000739]"
44,,TKVR,TAPPA KHAJURIAY,,,"[84.688889, 25.807401000000002]"
45,,DPI,DODDAMPATTI,,,"[78.42225009, 12.18134581]"
46,"National Highway 15, Rajasthan",AQG,ASHAPURA GOMAT,Rajasthan,NWR,"[71.892665, 26.950232]"
47,,NEA,NEYKKARAPATTI,,,"[78.09669699999999, 11.612765]"
48,,GRL,GORAUL,,,"[85.318477, 25.931048999999998]"
49,,KHI,KURHANI,,,"[85.339288, 25.979631]"
50,,VNJ,TIRUPPUR VANJIPALAYAM,,,"[77.26580200000001, 11.117790999999999]"
51,,CBF,COIMBATORE NORTH,,,"[76.954304, 11.019937]"
52,,UMB,AMBALA CANT JN,,,"[76.826966, 30.338918]"
53,,SRO,SIRATHU,,,"[81.31786, 25.650642]"
54,,SJT,SHUJAATPUR,,,"[81.401934, 25.605607000000003]"
55,,BDNP,BIDANPUR,,,"[81.44201699999999, 25.585017]"
56,"Motipura, Rajasthan",MTPC,MOTIPURA CHAUKI,Rajasthan,WCR,"[77.04829951629999, 24.6093382288]"
57,,HTZ,HATHIDAH JN,,,"[85.987826, 25.367027]"
58,"Dudhnoi Railway Station, Assam",DDNI,DUDHNOI,Assam,NFR,"[90.76188, 26.001459]"
59,,RDE,RUNDHI,,,"[77.350991, 28.067751]"
60,"Itaunja, Uttar Pradesh",IJ,ITAUNJA,Uttar Pradesh,NER,"[80.89123400000001, 27.081066999999997]"
61,"Barmer, Rajasthan",RMX,Ramsar,Rajasthan,NWR,"[70.866078, 25.722252]"
62,"Pilibhit, Uttar Pradesh",PBE,PILIBHIT JN,Uttar Pradesh,NER,"[79.813946, 28.614977999999997]"
63,"Rampura Bhal, Rajasthan",RMB,Rampura Beri,Rajasthan,NWR,"[75.64547982849999, 28.5301320576]"
64,,MGS,MUGHAL SARAI JN,,,"[83.11925000000001, 25.278149]"
65,"Ramgarh, Rajasthan",RSWT,Ramgarh Shekhawati,Rajasthan,NWR,"[74.993046, 28.169397]"
66,,BKNA,BAKAINA HALT,,,"[78.27473099999999, 29.035800000000002]"
67,,HBD,HOSHANGABAD,,,"[77.715594, 22.75274]"
68,,ANA,ASLANA,,,"[79.319493, 23.860522]"
69,,BNI,BUDNI,,,"[77.6812826, 22.7871143]"
70,"A T Rd, Assam",DMGN,DHAMALGAON,Assam,NFR,"[94.85656900000001, 27.325566]"
71,"Hyderabad, Andhra Pradesh",LKPL,LAKDIKAPUL,Andhra Pradesh,SCR,"[78.463527, 17.404048000000003]"
72,"Khandwa, Madhya Pradesh",BRUD,BARUD,Madhya Pradesh,WCR,"[76.814085, 22.052142]"
73,,DVL,DEVLALI,,,"[73.83729, 19.897509]"
74,,JRTR,Jurtara,,,"[79.76127199999999, 22.253004999999998]"
75,"Rewa, Madhya Pradesh",REWA,REWA,Madhya Pradesh,WCR,"[81.250615, 24.537122]"
76,"Bagodara Dholka, Gujarat",DOK,DHOLKA,Gujarat,WR,"[72.433842, 22.731982]"
77,,NDR,NANDESARI,,,"[73.0952734283, 22.418331636999998]"
78,,MYG,MIYAGAM KARJAN,,,"[73.120353, 22.050722]"
79,"Junction Point - Khajuraho, Uttar Pradesh",MBA,MAHOBA,Uttar Pradesh,NCR,"[79.849079, 25.306914]"
80,"Bamhani, Madhya Pradesh",JGZ,Jamgaon,Madhya Pradesh,SECR,"[80.198945, 22.418426]"
81,,BHKH,BAGHOI KUSA,,,"[84.46243313289999, 24.8399006513]"
82,"Ghaziabad, Uttar Pradesh",NOLI,NOLI,Uttar Pradesh,NR,"[77.31077099999999, 28.746571]"
83,"State Highway 57, Uttar Pradesh",SUJR,SUJRA,Uttar Pradesh,NR,"[77.26134099999999, 29.012729]"
84,"Amod, Gujarat",AMOD,Amod,Gujarat,WR,"[72.86546467803419, 21.990791167399735]"
85,,LKD,LAKODARA,,,"[73.09899399999999, 21.991872]"
86,"SH 166, Gujarat",VKL,Vankal,Gujarat,WR,"[73.23136643506587, 21.439673931772646]"
87,"Mumbai, Maharashtra",BY,BYCULLA,Maharashtra,CR,"[72.833211, 18.97695]"
88,,BNR,BHAGWANPUR,,,"[85.30109021000001, 25.858316719999998]"
89,"Kothur Rd, Tamil Nadu",KTY,Kotturu,Tamil Nadu,SWR,"[76.21354088187218, 14.826788325296278]"
90,"Bhalukmara, Assam",BLMR,Bhalukmara,Assam,NFR,"[94.143709, 26.685532]"
91,"Anjangaon, Maharashtra",ANJ,Anjangaon,Maharashtra,CR,"[77.31896504759789, 21.163199753077336]"
92,"Debagram, West Bengal",DEB,Debagram,West Bengal,ER,"[88.306807, 23.685277]"
93,"Dist. Amravati, Maharashtra",ELP,Achalpur,Maharashtra,CR,"[77.51926277764142, 21.27760302246017]"
94,"Bethuadahari, West Bengal",BTY,Bethuadahari,West Bengal,ER,"[88.384597, 23.610275]"
95,"Wardha, Maharashtra",WARUD,Warud,Maharashtra,CR,"[78.65141943097115, 20.74690547756532]"
96,"Velankanni, Tamil Nadu",VLKN,Velankanni,Tamil Nadu,?,"[79.84618068672717, 10.686877168293023]"
97,"Putlacheruvu, Andhra Pradesh",PCU,PUTLACHERUVU,Andhra Pradesh,SCR,"[81.112395, 16.484823]"
98,,BNPT,BENNIPATTI PIRAPUR,,,"[85.3090478906, 25.892949366]"
99,,JM,JALAMB JN,,,"[76.573236, 20.813007000000002]"
100,"Jeypore Rd, Andhra Pradesh",GPJ,Gorapur,Andhra Pradesh,ECoR,"[82.79406, 18.346936]"
101,,ABEO,Pattaravakkam,,SR,"[80.16618146561086, 13.114499981582952]"
102,,SEG,SHEGAON,,,"[76.690331, 20.801724]"
103,"Lamta, Madhya Pradesh",GDU,Gudru Halt,Madhya Pradesh,SECR,"[80.1163395764, 22.2718946035]"
104,"Balgona, West Bengal",BGNA,Balgona,West Bengal,ER,"[87.95045644976199, 23.458049719226736]"
105,"Ranaghat-Bagula Bypass, West Bengal",KLNP,Kalinarayanpur,West Bengal,ER,"[88.573216, 23.206506]"
106,,NGZ,S K NAGJIHARI,,,"[76.755353, 20.761640999999997]"
107,,PS,PARAS,,,"[76.815865, 20.724519]"
108,"Sutahata, West Bengal",BRDB,Barda,West Bengal,SER,"[88.08753041, 22.15295838]"
109,,GAO,GAIGAON,,,"[76.890093, 20.720684]"
110,,RRL,REWRAL,,,"[79.468096, 21.261121]"
111,,KHAT,KHAT,,,"[79.550792, 21.242242]"
112,,BRD,BHANDARA ROAD,,,"[79.64752299999999, 21.238512]"
113,,KOKA,KOKA,,,"[79.71240900000001, 21.263021]"
114,,DAO,DAGHORA,,,"[83.678086, 21.857535000000002]"
115,,HGR,HEMAGIRI,,,"[83.742815, 21.876503999999997]"
116,"Nainpur, Madhya Pradesh",NIR,Nainpur Junction,Madhya Pradesh,SECR,"[80.108853, 22.425676]"
117,"Mariani, Assam",NCH,NAKACHARI,Assam,NFR,"[94.3939129431, 26.7081333353]"
118,"03564-255091, West Bengal",APDJ,ALIPUR DUAR JN,West Bengal,NFR,"[89.534048, 26.523279]"
119,,BRE,BHARWARI,,,"[81.4918665, 25.5591917]"
120,"National Highway 34, West Bengal",JTK,Jhitkia,West Bengal,NFR,"[88.05297200000001, 25.626133]"
121,,MNJ,MANOHARGANJ,,,"[81.55907499999999, 25.524992]"
122,,SYWN,SAIYID SARAWAN,,,"[81.613788, 25.494982]"
123,,MRE,MANAURI,,,"[81.662491, 25.470171]"
124,,BMU,BAMHRAULI,,,"[81.741641, 25.44494]"
125,,SFG,SUBEDARGANJ,,,"[81.789897, 25.439879]"
126,,KLX,KOLAKALUR,,,"[80.627521, 16.295185999999998]"
127,,CLVR,CHILUVUR,,,"[80.61690800000001, 16.379558]"
128,,KVR,KOVVUR,,,"[81.726495, 17.007084]"
129,,GVN,GODAVARI,,,"[81.77083, 17.007707]"
130,,KJKD,KANJIKODE,,,"[76.75531600000001, 10.800919]"
131,"Garh Dhrubeswar, West Bengal",SNKR,Sanka,West Bengal,SER,"[86.616164, 23.52693]"
132,"Binaiki Railway Station, Madhya Pradesh",VNK,Binaiki,Madhya Pradesh,SECR,"[79.902424, 22.72003]"
133,"Gocharan, West Bengal",GCN,Gocharan,West Bengal,ER,"[88.45836999999999, 22.277738]"
134,"Seoni, Madhya Pradesh",SEY,Seoni,Madhya Pradesh,SECR,"[79.545769, 22.075431]"
135,"Jairampur More to Baliapur, West Bengal",SDMD,Sudamdih,West Bengal,SER,"[86.44032, 23.654478]"
136,,BJU,BARAUNI JN,,,"[85.988748, 25.461768000000003]"
137,,DMO,DAMOH,,,"[79.432246, 23.836693]"
138,,ADD,ADAS ROAD,,,"[73.0346944543, 22.486628078200003]"
139,"Chalala, Gujarat",CLC,Chalala,Gujarat,WR,"[71.16224249999999, 21.4155588]"
140,,RNO,RANOLI,,,"[73.1122662115, 22.405252095399998]"
141,"Pali, Rajasthan",HP,HARIPUR,Rajasthan,NWR,"[74.024928, 26.012397]"
142,"Kumarghat, Tripura",KUGT,Kumarghat,Tripura,NFR,"[92.0348331158, 24.1506303119]"
143,"Aurangabad, Maharashtra",AWB,AURANGABAD,Maharashtra,SCR,"[75.31064599999999, 19.859276]"
144,"Rayalaseema Region, Andhra Pradesh",BNL,BEVINAHALU,Andhra Pradesh,SCR,"[77.21298975, 15.16697376]"
145,"Somnath, Gujarat",SMNH,SOMNATH,Gujarat,WR,"[70.408254, 20.896131999999998]"
146,"Cuddalore Township, Tamil Nadu",CUPJ,CUDDALORE PORT,Tamil Nadu,SR,"[79.766287, 11.715119]"
147,,PLJ,PALEJ,,,"[73.072387, 21.921578]"
148,"National Highway 112, Rajasthan",GOLE,GOLE,Rajasthan,NWR,"[72.00004, 25.891938]"
149,,TRO,TIRORA,,,"[79.91803499999999, 21.415039]"
150,,JMG,JAMGA,,,"[83.564842, 21.874971000000002]"
151,,AHLR,AHALYAPUR,,,"[83.824844, 26.468381]"
152,,TEL,TENALI JN,,,"[80.640413, 16.242409000000002]"
153,"Chennai - Anantpur Rd, Andhra Pradesh",TAT,Tummanamgutta,Andhra Pradesh,SCR,"[78.37926300000001, 13.707414]"
154,,CU,CHAGALLU,,,"[81.690558, 16.965076999999997]"
155,,PSDA,PASIVEDALA,,,"[81.700939, 16.99331]"
156,"SH 31, Rajasthan",MBGA,Marwar Bagra,Rajasthan,NWR,"[72.59376099999999, 25.208689]"
157,"State Highway 68, Rajasthan",JNE,JANIYANA,Rajasthan,NWR,"[72.336284, 25.827638]"
158,"Barmer, Rajasthan",SMR,SAMDHARI JN,Rajasthan,NWR,"[72.57300699999999, 25.837202]"
159,"Dundara, Rajasthan",SUT,SUTLANA,Rajasthan,NWR,"[72.951414, 25.970783]"
160,"Porbandar, Gujarat",PBR,PORBANDAR,Gujarat,WR,"[69.615506, 21.643597999999997]"
161,"Chikkandawadi, Karnataka",CKVD,Chikkandawadi,Karnataka,SWR,"[76.2025684888, 14.137920273699999]"
162,"Chomun, Rajasthan",BHG,Bhaton Ki Gali,Rajasthan,NWR,"[75.712919, 27.105646]"
163,"Hanumangarh, Rajasthan",HMO,Hanumangarh Town,Rajasthan,NWR,"[74.33120188303292, 29.574220545495677]"
164,,SANR,SARDARNAGAR,,,"[83.494054, 26.700858999999998]"
165,"Giridih, Jharkhand",GRD,Giridih,Jharkhand,ER,"[86.3146452, 24.182255899999998]"
166,,CC,CHAURI CHAURA,,,"[83.545894, 26.673882]"
167,,KMPT,KOMATIPALLI,,,"[79.5158922174, 18.023547297]"
168,,HSP,HASANPARTHI RD,,,"[79.50184999999999, 18.078262]"
169,"State Highway 40, Rajasthan",GGY,Gagariya,Rajasthan,NWR,"[70.734877, 25.741083]"
170,,NNPR,NONAPAR,,,"[83.969786, 26.353209]"
171,,MW,MAIRWA,,,"[84.151979, 26.240309]"
172,,KUY,TIRUPPUR KULIPALAYAM,,,"[77.3893135876, 11.1440279246]"
173,,PLL,PARLI,,,"[76.559421, 10.800415]"
174,"Agartala, Tripura",AGTL,Agartala,Tripura,NFR,"[91.278481, 23.792417]"
175,,MNY,MANKARAI,,,"[76.500232, 10.771526]"
176,,LDY,LAKKITI,,,"[76.434467, 10.753217]"
177,,PLPM,PALAPPURAM,,,"[76.398385813, 10.7525187905]"
178,,OTP,OTTAPPALAM,,,"[76.377993, 10.770046]"
179,,MNUR,MANNANUR,,,"[76.323555, 10.749322]"
180,,ZRDE,JIRADEI,,,"[84.256142, 26.220819]"
181,,SV,SIWAN JN,,,"[84.359267, 26.210724000000003]"
182,,PCK,PACHRUKHI,,,"[84.415667, 26.162627999999998]"
183,,DDA,DURAUNDHA JN,,,"[84.45894600000001, 26.086973]"
184,,CW,CHAINWA,,,"[84.49649600000001, 26.022117]"
185,"National Highway 15, Rajasthan",POK,POKRAN,Rajasthan,NWR,"[71.923129, 26.930571]"
186,"National Highway 15, Rajasthan",OCH,ODHANIYA CHACHA,Rajasthan,NWR,"[71.718687, 26.972848]"
187,,EKMA,EKMA,,,"[84.53637, 25.967099]"
188,,DDP,DAUDPUR,,,"[84.591425, 25.90709]"
189,,KPS,KOPA SAMHOTA,,,"[84.65281399999999, 25.851866]"
190,,BTHL,BITHAULI,,,"[85.29179, 25.817069]"
191,,GB,GAURI BAZAR,,,"[83.667801, 26.594934000000002]"
192,,BALR,BAITALPUR,,,"[83.7385572, 26.5526634]"
193,,DEOS,DEORIA SADAR,,,"[83.7819590961, 26.5076811676]"
194,,NRA,NUNKHAR,,,"[83.880179, 26.425483]"
195,,AGMN,Agomoni,,,"[89.786242, 26.225947]"
196,,BND,BHANDUP,,,"[72.93723505, 19.14200998]"
197,,ASR,AMRITSAR JN,,,"[74.858025, 31.631511999999997]"
198,,MUC,MULLURKARA,,,"[76.271415, 10.705843]"
199,,WKI,WADAKANCHERI,,,"[76.237041, 10.648956]"
200,"National Highway 15, Rajasthan",SOG,SURATGARH JN,Rajasthan,NWR,"[73.90724800000001, 29.324152]"
201,"National Highway 6, Maharashtra",SNV,Sondad,Maharashtra,SECR,"[80.094149, 21.079845]"
202,"State Highway 41, Rajasthan",QMRS,Kayamsar,Rajasthan,NWR,"[75.000562, 28.125576]"
203,"Bijapur, Karnataka",AYB,Aliyabad,Karnataka,SWR,"[75.758306, 16.878268000000002]"
204,"Barmer, Rajasthan",MBF,Munabao,Rajasthan,NWR,"[70.276543, 25.742614]"
205,"Orissa, Orissa",CLDR,Chilikidara,Orissa,ECoR,"[85.827112, 21.243022]"
206,"Kolayat, Rajasthan",KLYT,Kolayat,Rajasthan,NWR,"[72.95507400000001, 27.835319]"
207,"Chalsa, West Bengal",CLD,CHALSA JN,West Bengal,NFR,"[88.798213, 26.882215]"
208,"National Highway 31C, West Bengal",CRX,CARRON,West Bengal,NFR,"[88.9704, 26.880279]"
209,,ETF,ITARSI F CABIN,,,"[77.774856, 22.61521]"
210,"Chandanpahari, Jharkhand",CNPI,Chandanpahari,Jharkhand,ER,"[86.953082, 24.404224]"
211,,MIG,MIDGHAT,,,"[77.647526, 22.828141000000002]"
212,,BNU,BANDAKPUR,,,"[79.575956, 23.848205999999998]"
213,"Ringas, Rajasthan",COD,Chhota Gudha,Rajasthan,NWR,"[75.599508, 27.293803]"
214,,CHQ,CHOKA,,,"[77.638968, 22.864326000000002]"
215,,MB,MORADABAD,,,"[78.765801, 28.831621000000002]"
216,"Israna, Haryana",IRA,ISRANA,Haryana,NR,"[76.85285999999999, 29.291379]"
217,,KRCA,KARACHIYA YARD,,,"[73.132981, 22.380046]"
218,,BJW,BAJVA,,,"[73.1431251, 22.3662226]"
219,"Vallampadugai, Tamil Nadu",CLN,KOLLIDAM,Tamil Nadu,SR,"[79.718347, 11.332713]"
220,"Chittorgarh, Rajasthan",CNA,CHANDERIYA,Rajasthan,WR,"[74.629979, 24.939557999999998]"
221,"Charkhari, Uttar Pradesh",CRC,CHARKHARI ROAD,Uttar Pradesh,NCR,"[79.74565299999999, 25.307555999999998]"
222,,BTT,BHATNI JN,,,"[83.934035, 26.381257]"
223,"Berhampore, West Bengal",CSZ,Cossimbazar,West Bengal,ER,"[88.266903, 24.122264]"
224,,VRE,VAREDIYA,,,"[73.048979, 21.85838]"
225,,NIU,NABIPUR,,,"[73.030592, 21.807541]"
226,,CVJ,CHAVAJ,,,"[73.010489, 21.753134000000003]"
227,,AKV,ANKLESHWAR JN,,,"[73.000633, 21.623889]"
228,"National Highway 54, Assam",CNE,CHANDRANATHPUR,Assam,NFR,"[92.71665800000001, 24.984962]"
229,,PAO,PANOLI,,,"[72.978371, 21.535197]"
230,"Pali, Rajasthan",CNL,CHANDAWAL,Rajasthan,NWR,"[73.86881457700001, 25.946542716]"
231,"Marwar, Rajasthan",BFY,BHESANA,Rajasthan,NWR,"[73.7180903, 25.82438]"
232,,HAT,HATHURAN,,,"[72.969512, 21.501091000000002]"
233,"KGF, Karnataka",COL,Coromandel,Karnataka,SWR,"[78.257278, 12.97518]"
234,,KDSD,KUDSAD,,,"[72.91647999999999, 21.37682]"
235,,SYN,SAYAN,,,"[72.890287, 21.317203]"
236,"Aonla- Bareilly Link Rd, Uttar Pradesh",MQP,Makrandpur,Uttar Pradesh,NER,"[79.290097, 28.213407]"
237,,GTX,GOTHANGAM,,,"[72.880104, 21.294043]"
238,,MGK,MULANGUNNATHUKAVU,,,"[76.207809, 10.596938999999999]"
239,"Chanakyapuri, Delhi NCT",CNKP,CHANAKYAPURI,Delhi NCT,NR,"[77.172004, 28.591905]"
240,,URN,UTRAN,,,"[72.85479600000001, 21.232602]"
241,,ST,SURAT,,,"[72.840793, 21.206568]"
242,,UDN,UDHNA JN,,,"[72.851461, 21.171156]"
243,,VRU,VALIVERU,,,"[80.605456, 16.188934]"
244,,MRPL,MARAMPALLI,,,"[81.63387399999999, 16.843925]"
245,,NDD,NIDADAVOLU JN,,,"[81.67550399999999, 16.898297]"
246,,GDM,GUDMA,,,"[80.287678, 21.416128]"
247,,BEF,BHUPDEOPUR,,,"[83.25998102000001, 21.975035039999998]"
248,,RIG,RAIGARH,,,"[83.39067, 21.891288999999997]"
249,,KRL,KOTARLIA,,,"[83.482238, 21.883182]"
250,"Kanadukathan, Tamil Nadu",CTND,Chettinad,Tamil Nadu,SR,"[78.775924, 10.160613]"
251,"State Highway 51, Uttar Pradesh",SEPR,SHERPUR,Uttar Pradesh,NR,"[78.25287, 28.919358]"
252,"Navsari, Gujarat",NVS,NAVSARI,Gujarat,WR,"[72.914294, 20.946851]"
253,"Jalalabad, Punjab",JBD,Jalalabad,Punjab,NR,"[74.268446, 30.60775]"
254,"National Highway 31, West Bengal",DDM,DAM DIM,West Bengal,NFR,"[88.67133299999999, 26.859243000000003]"
255,"Kutch, Gujarat",COE,CHITROD,Gujarat,WR,"[70.655356, 23.417869]"
256,"Chomun, Rajasthan",COM,Chomun Samod,Rajasthan,NWR,"[75.70272, 27.158223]"
257,"Ambala City, Haryana",DKT,DHULKOT,Haryana,NR,"[76.78753499999999, 30.395686]"
258,,KUW,KANWAR,,,"[81.21464405030001, 25.7036520692]"
259,,CDMR,CHANDAULI MJHWR,,,"[83.267724, 25.261093]"
260,,KGA,KHAGA,,,"[81.102658, 25.761853]"
261,,KTCE,KATOGHAN,,,"[81.16560600000001, 25.730035]"
262,,ASCE,ATHSARAI,,,"[81.2620300824, 25.678728805000002]"
263,"Bengaluru, Karnataka",CRLM,Carmelaram,Karnataka,SWR,"[77.706014, 12.907633]"
264,"CHANRA (chandor), Goa",CNR,CHANDAR,Goa,SWR,"[74.047794, 15.264834]"
265,"Borra, Andhra Pradesh",CMDP,Chimidipalli,Andhra Pradesh,ECoR,"[83.07686199999999, 18.262764]"
266,,BDL,VINDHYACHAL,,,"[82.5020212, 25.160771699999998]"
267,,TSA,TISUA,,,"[79.58628900000001, 28.136577]"
268,"National Highway 59, Gujarat",TAS,Thasra,Gujarat,WR,"[73.221682, 22.797769]"
269,,GHT,GHAGHARA GHAT,,,"[81.5033135022, 27.1026834977]"
270,,BV,BABHNAN,,,"[82.500127, 26.938525000000002]"
271,"Bahraich, Uttar Pradesh",CLW,Chilwariya,Uttar Pradesh,NER,"[81.69873199999999, 27.487001000000003]"
272,,GAUR,GAUR,,,"[82.56115799999999, 26.913411]"
273,,TH,TINICH,,,"[82.639707, 26.882281000000003]"
274,,BHTR,BHATPAR RANI,,,"[84.03310139999999, 26.3104766]"
275,,TUR,TURKI,,,"[85.354709, 26.034431]"
276,,RD,RAM DAYALU NAGAR,,,"[85.38359600000001, 26.097367]"
277,,BTO,BHITAURA,,,"[79.306506, 28.469954]"
278,,PKRA,PARSA KHERA,,,"[79.34185199999999, 28.433371]"
279,,CHTI,CHANETI,,,"[79.42916573, 28.3087958495]"
280,,BLPU,BILPUR,,,"[79.62578099999999, 28.083668]"
281,,MK,MIRANPUR KATRA,,,"[79.674809, 28.03708]"
282,,MILA,MILAKPUR HALT,,,"[79.71796182739999, 27.988261374]"
283,,TLH,TILHAR,,,"[79.741776, 27.972984]"
284,"Kannur district, Kerala",CQL,CHIRAKKAL,Kerala,SR,"[75.353696, 11.911049]"
285,,PNQ,PUNKUNNAM,,,"[76.20943, 10.535053999999999]"
286,,TCR,THRISUR,,,"[76.207919, 10.514790000000001]"
287,"Chamarajnagar, Karnataka",CMNR,CHAMARAJANAGAR,Karnataka,SWR,"[76.932807, 11.934891]"
288,"Mysore, Karnataka",CMJ,CHAMARAJAPURAM,Karnataka,SWR,"[76.637861, 12.29844]"
289,,BKA,BARKHERA,,,"[77.649646, 22.917359]"
290,,ODG,OBAIDULLA GANJ,,,"[77.587299, 22.994912]"
291,"Navsari, Gujarat",ACL,ANCHELI,Gujarat,WR,"[72.944978, 20.845167]"
292,"Gadu, Gujarat",CVR,CHORVAD ROAD,Gujarat,WR,"[70.290734, 21.055196000000002]"
293,"Aurangabad, Maharashtra",CTH,CHIKALTHANA,Maharashtra,SCR,"[75.402851, 19.859565]"
294,"Bikapur, Uttar Pradesh",BTKD,BHARATKUND,Uttar Pradesh,NR,"[82.12739309999999, 26.6360965]"
295,"Dhariwal, Punjab",DHW,Dhariwal,Punjab,NR,"[75.32156499999999, 31.949113]"
296,,SAI,SARAI,,,"[85.27660900000001, 25.779962]"
297,"National Highway 23, Orissa",CPE,Chandiposi,Orissa,SER,"[84.915988, 22.068676999999997]"
298,"Hingoli, Maharashtra",CRU,CHUDAWA,Maharashtra,SCR,"[77.1169303369, 19.1803282622]"
299,"Dhubri, Assam",DBB,DHUBRI,Assam,NFR,"[89.977952, 26.023137000000002]"
300,,PNP,PANIPAT JN,,,"[76.96379300000001, 29.388948]"
301,"Chandpur, Uttar Pradesh",CPS,CHANDPUR SIAU HALT,Uttar Pradesh,NR,"[78.27585499999999, 29.13201]"
302,"State Highway 25, Gujarat",CX,CHANOL,Gujarat,WR,"[70.53884199999999, 22.427916]"
303,"Chak Sikander, Bihar",CSR,CHAK SIKANDAR,Bihar,ECR,"[85.365246145, 25.6767202377]"
304,"Charpokhari, Bihar",CRQ,Charpokhari Halt,Bihar,ECR,"[84.487603186, 25.3615157718]"
305,,VNA,VARANGAON,,,"[75.9006577881, 21.0097131944]"
306,"Bhang, Bihar",DAG,DHANG,Bihar,ECR,"[85.353298, 26.7174]"
307,"National Highway 65, Haryana",CRW,Charaud,Haryana,NWR,"[75.6466632, 29.0094584]"
308,,BTL,BORTALAO,,,"[80.626207, 21.218301]"
309,,KHS,KHARSIA,,,"[83.102414, 21.99178]"
310,,ROB,ROBERTSON,,,"[83.182508, 21.988744]"
311,"Chaparmukh, Assam",CPK,CHAPARMUKH JN,Assam,NFR,"[92.511718, 26.202272]"
312,"Sherpur Sodhian Link Rd, Punjab",CTW,Chhintanwala,Punjab,NR,"[76.014229, 30.365958000000003]"
